# Temperature, K	# Time, s	Channel 1: R8, Ohms	Channel 2: R7, Ohms	Channel 3: R2, Ohms	Channel 4: R3, Ohms	Channel 5: R5, Ohms	Channel 6: R6, Ohms	Channel 7: R11, Ohms	Channel 8: R12, Ohms	Channel 9: ROX, Ohms
1.164443920032606457e+02	1.629669245209265232e+09	5.151949999999999363e+02	5.107540000000000191e+02	5.326989999999999782e+03	5.355074999999999818e+03	2.390055000000000291e+03	1.386444999999999936e+03	1.729370000000000000e+06	1.659775000000000000e+06	1.088279999999999973e+03
1.177457505205059505e+02	1.629609965449242592e+09	5.145333333333333030e+02	5.106763333333333321e+02	5.316559999999999491e+03	5.350526666666665733e+03	2.388356666666666570e+03	1.385880000000000109e+03	1.726673333333333256e+06	1.656906666666666744e+06	1.085283333333333530e+03
1.192328614776318005e+02	1.629609910173188448e+09	5.171033333333333530e+02	5.107210000000000036e+02	5.317079999999999018e+03	5.349869999999999891e+03	2.388693333333333612e+03	1.385859999999999900e+03	1.726746666666666744e+06	1.656980000000000000e+06	1.084526666666666642e+03
1.204324223714122297e+02	1.629669189999454737e+09	5.156050000000000182e+02	5.105449999999999591e+02	5.325854999999999563e+03	5.352750000000000000e+03	2.389539999999999964e+03	1.386275000000000091e+03	1.729420000000000000e+06	1.659735000000000000e+06	1.087059999999999945e+03
1.216970605487991293e+02	1.629609836393997192e+09	5.167033333333333758e+02	5.104320000000000164e+02	5.314866666666666788e+03	5.348890000000000327e+03	2.387203333333333376e+03	1.385840000000000146e+03	1.726610000000000000e+06	1.656853333333333256e+06	1.083896666666666761e+03
1.231856240518273893e+02	1.629609781159317970e+09	5.149866666666666788e+02	5.103976666666666802e+02	5.315840000000000146e+03	5.349683333333333394e+03	2.387553333333333285e+03	1.385583333333333258e+03	1.726460000000000000e+06	1.656700000000000000e+06	1.082710000000000036e+03
1.243652924282129106e+02	1.629669134588317871e+09	5.142150000000000318e+02	5.105674999999999955e+02	5.324614999999999782e+03	5.350425000000000182e+03	2.389125000000000000e+03	1.385889999999999873e+03	1.729160000000000000e+06	1.659540000000000000e+06	1.085119999999999891e+03
1.256074679355964463e+02	1.629609707138310671e+09	5.153600000000000136e+02	5.102869999999999777e+02	5.314039999999999964e+03	5.348383333333334122e+03	2.387473333333333358e+03	1.385310000000000173e+03	1.726380000000000000e+06	1.656720000000000000e+06	1.082326666666666597e+03
1.270478981516201884e+02	1.629609651488804817e+09	5.150900000000000318e+02	5.102470000000000141e+02	5.314710000000000036e+03	5.347049999999999272e+03	2.387093333333333703e+03	1.385343333333333248e+03	1.726316666666666744e+06	1.656596666666666744e+06	1.081523333333333312e+03
1.283970610458697195e+02	1.629728561442892313e+09	5.150366666666667470e+02	5.102703333333333831e+02	5.331383333333333212e+03	5.351590000000000146e+03	2.390679999999999836e+03	1.386226666666666461e+03	1.731703333333333256e+06	1.662143333333333256e+06	1.086236666666666679e+03
1.296875091292451145e+02	1.629609596085366011e+09	5.157866666666667470e+02	5.100039999999999623e+02	5.313630000000000109e+03	5.347143333333333430e+03	2.386920000000000073e+03	1.385166666666666742e+03	1.726160000000000000e+06	1.656456666666666744e+06	1.080393333333333430e+03
1.310359997536400840e+02	1.629609540654194832e+09	5.143466666666666924e+02	5.100300000000000296e+02	5.313390000000000327e+03	5.346543333333333976e+03	2.386486666666666224e+03	1.385063333333333276e+03	1.726293333333333256e+06	1.656586666666666744e+06	1.080163333333333185e+03
1.323962490781197801e+02	1.629609485388658285e+09	5.159366666666666106e+02	5.098640000000000327e+02	5.313466666666667152e+03	5.346586666666666133e+03	2.386500000000000000e+03	1.385143333333333430e+03	1.726220000000000000e+06	1.656550000000000000e+06	1.079609999999999900e+03
1.334575058579193296e+02	1.629669023406134605e+09	5.161200000000000045e+02	5.100525000000000091e+02	5.320760000000000218e+03	5.347010000000000218e+03	2.388695000000000164e+03	1.385444999999999936e+03	1.728840000000000000e+06	1.659200000000000000e+06	1.081570000000000164e+03
1.348065393912933416e+02	1.629728635025046110e+09	5.179099999999999682e+02	5.099493333333332998e+02	5.327653333333332739e+03	5.348460000000000036e+03	2.389013333333333776e+03	1.385906666666666752e+03	1.731363333333333256e+06	1.661880000000000000e+06	1.082656666666666752e+03
1.361442423181737809e+02	1.629490160343828201e+09	5.147249999999999091e+02	5.094470000000000027e+02	5.297829999999999927e+03	5.342255000000000109e+03	2.382670000000000073e+03	1.384049999999999955e+03	1.720580000000000000e+06	1.650825000000000000e+06	1.074105000000000018e+03
